0.0,1559139111.415838,0.0
0.0,1559139111.5085697,1.0
0.0,1559139111.5207455,2.0
0.0,1559139111.5408242,3.0
0.0,1559139111.5628707,4.0
0.0,1559139111.5754056,5.0
0.0,1559139111.58364,6.0
0.0,1559139111.6005843,7.0
0.0,1559139111.6306386,8.0
0.0,1559139111.6437185,9.0
0.0,1559139111.6569421,10.0
0.0,1559139111.670886,11.0
0.0,1559139111.6787636,12.0
0.0,1559139111.6959772,13.0
0.0,1559139111.7104962,14.0
0.0,1559139111.7223403,15.0
0.0,1559139111.732199,16.0
0.0,1559139111.7435417,17.0
0.0,1559139111.7517798,18.0
0.0,1559139111.7648318,19.0
0.0,1559139111.7757616,20.0
0.0,1559139111.7897198,21.0
0.0,1559139111.7971034,22.0
1.0,1559139111.8051188,23.0
1.0,1559139111.8145645,24.0
1.0,1559139111.8236115,25.0
1.0,1559139111.8310714,26.0
1.0,1559139111.8402066,27.0
1.0,1559139111.8474214,28.0
1.0,1559139111.8571224,29.0
1.0,1559139111.8643212,30.0
1.0,1559139111.8729217,31.0
1.0,1559139111.8803492,32.0
1.0,1559139111.888763,33.0
1.0,1559139111.8968341,34.0
1.0,1559139111.9051712,35.0
1.0,1559139111.912422,36.0
1.0,1559139111.9208057,37.0
1.0,1559139111.9282677,38.0
1.0,1559139111.9366457,39.0
1.0,1559139111.9442928,40.0
1.0,1559139111.9513364,41.0
1.0,1559139111.9621017,42.0
1.0,1559139111.9701633,43.0
1.0,1559139111.9773722,44.0
1.0,1559139111.9853632,45.0
1.0,1559139111.994234,46.0
1.0,1559139112.0015268,47.0
1.0,1559139112.0102801,48.0
1.0,1559139112.0176256,49.0
1.0,1559139112.0268521,50.0
1.0,1559139112.0340478,51.0
1.0,1559139112.0432236,52.0
1.0,1559139112.0504122,53.0
0.0,1559139112.059389,54.0
0.0,1559139112.068914,55.0
0.0,1559139112.0787733,56.0
0.0,1559139112.0872843,57.0
0.0,1559139112.09471,58.0
0.0,1559139112.1036317,59.0
0.0,1559139112.1118963,60.0
0.0,1559139112.1196272,61.0
0.0,1559139112.1283844,62.0
0.0,1559139112.1365235,63.0
0.0,1559139112.1449196,64.0
0.0,1559139112.1531131,65.0
0.0,1559139112.1619217,66.0
0.0,1559139112.1699529,67.0
0.0,1559139112.1772974,68.0
0.0,1559139112.1855912,69.0
0.0,1559139112.1937306,70.0
0.0,1559139112.2010775,71.0
0.0,1559139112.210009,72.0
0.0,1559139112.2172024,73.0
0.0,1559139112.2260141,74.0
0.0,1559139112.234413,75.0
0.0,1559139112.2431855,76.0
0.0,1559139112.2506988,77.0
0.0,1559139112.2595189,78.0
0.0,1559139112.267234,79.0
0.0,1559139112.2760916,80.0
0.0,1559139112.2844076,81.0
0.0,1559139112.2932796,82.0
1.0,1559139112.3003232,83.0
1.0,1559139112.3087568,84.0
1.0,1559139112.316155,85.0
1.0,1559139112.3237653,86.0
1.0,1559139112.3313367,87.0
1.0,1559139112.3396056,88.0
1.0,1559139112.3472974,89.0
1.0,1559139112.3562005,90.0
